,Method,MaxRSS,FileSize
0,R,6888.67578125,277.66803550720215
1,R,8448.48046875,415.70178985595703
2,R,10692.37109375,553.7040500640869
3,R,13058.21875,691.7063102722168
4,R,14855.890625,829.7715587615967
5,R,18153.98046875,967.7738189697266
6,R,20554.7265625,1105.7760791778564
7,R,22984.25,1243.7783393859863
8,R,24842.765625,1381.7805995941162
9,R,26575.41015625,1519.7834062576294
10,R,29714.765625,1657.9121894836426
11,R,32413.60546875,1795.9149961471558
12,R,33957.71484375,1933.917802810669
13,R,35929.171875,2071.920609474182
14,R,38465.63671875,2209.9234161376953
15,Py_20Batches,924.75390625,277.66803550720215
16,Py_20Batches,1222.97265625,415.70178985595703
17,Py_20Batches,1547.953125,553.7040500640869
18,Py_20Batches,1874.5,691.7063102722168
19,Py_20Batches,2200.0546875,829.7715587615967
20,Py_20Batches,2525.83984375,967.7738189697266
21,Py_20Batches,2851.14453125,1105.7760791778564
22,Py_20Batches,3177.31640625,1243.7783393859863
23,Py_20Batches,3584.25,1381.7805995941162
24,Py_20Batches,3971.69921875,1519.7834062576294
25,Py_20Batches,4153.60546875,1657.9121894836426
26,Py_20Batches,4657.7265625,1795.9149961471558
27,Py_20Batches,4806.35546875,1933.917802810669
28,Py_20Batches,5279.1875,2071.920609474182
29,Py_20Batches,5738.05859375,2209.9234161376953
30,Py_10Batches,1123.23828125,277.66803550720215
31,Py_10Batches,1551.02734375,415.70178985595703
32,Py_10Batches,1985.02734375,553.7040500640869
33,Py_10Batches,2409.66015625,691.7063102722168
34,Py_10Batches,2850.83203125,829.7715587615967
35,Py_10Batches,3287.0859375,967.7738189697266
36,Py_10Batches,3721.51171875,1105.7760791778564
37,Py_10Batches,4154.1328125,1243.7783393859863
38,Py_10Batches,4488.88671875,1381.7805995941162
39,Py_10Batches,4914.28515625,1519.7834062576294
40,Py_10Batches,5337.71875,1657.9121894836426
41,Py_10Batches,5760.8984375,1795.9149961471558
42,Py_10Batches,6184.4296875,1933.917802810669
43,Py_10Batches,6609.859375,2071.920609474182
44,Py_10Batches,7033.43359375,2209.9234161376953
45,Py_1Batch,2922.21875,277.66803550720215
46,Py_1Batch,4124.9453125,415.70178985595703
47,Py_1Batch,5764.01171875,553.7040500640869
48,Py_1Batch,7222.53515625,691.7063102722168
49,Py_1Batch,8485.79296875,829.7715587615967
50,Py_1Batch,9693.12890625,967.7738189697266
51,Py_1Batch,11757.5546875,1105.7760791778564
52,Py_1Batch,12540.22265625,1243.7783393859863
53,Py_1Batch,14340.69921875,1381.7805995941162
54,Py_1Batch,15561.14453125,1519.7834062576294
55,Py_1Batch,17234.265625,1657.9121894836426
56,Py_1Batch,19048.2421875,1795.9149961471558
57,Py_1Batch,19782.45703125,1933.917802810669
58,Py_1Batch,21463.86328125,2071.920609474182
59,Py_1Batch,23400.08984375,2209.9234161376953
